"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,bacterial_wgs_metadata,,text,"Record ID",,,,,,,,,,,,,
micro_pt_study_id,bacterial_wgs_metadata,"Identifying Data",text,"Sample ID/Name: ",,"<b><i>Note: Human readable name</b></i>",,,,,,,,,,,
orig_barcode_1,bacterial_wgs_metadata,,text,"Original barcode 1:",,,,,,,,,,,,,
orig_barcode_2,bacterial_wgs_metadata,,text,"Original barcode 2:",,,,,,,,,,,,,
culture_dt,bacterial_wgs_metadata,"Culture Data",text,"Culture date:",,,date_ymd,,,,,,,,,,
culture_site,bacterial_wgs_metadata,,radio,"Culture site:","1, BAL | 2, Blood | 3, Other (please specify)",,,,,,,,,,,,
culture_site_other,bacterial_wgs_metadata,,text,"Please specify:",,,,,,,"[culture_site] = '3'",,,,,,
accession_num_bal,bacterial_wgs_metadata,,text,"BAL Accession number/specimen ID:",,,,,,,"[culture_site] = '1'",,,,,,
accession_num_blood,bacterial_wgs_metadata,,text,"Blood Accession number/specimen ID:",,,,,,,"[culture_site] = '2'",,,,,,
accession_num_other,bacterial_wgs_metadata,,text,"Other Accession number/specimen ID:",,,,,,,"[culture_site] = '3'",,,,,,
vitek_species,bacterial_wgs_metadata,,radio,"VITEK Species ID","1, Pseudomonas aeruginosa | 2, Acinetobacter baumanii | 3, Klebsiella pneumoniae | 4, Staphylococcus aureus | 5, Other (please specify)",,,,,,,,,,,,
vitek_species_other,bacterial_wgs_metadata,,text,"Please specify: ",,,,,,,"[vitek_species] = '5'",,,,,,
glycerol_stock_desc1,bacterial_wgs_metadata,,descriptive,"<p class=""yellow""><b><font color = ""black"">Glycerol Stock Working Sample</p></b></font>",,"<b><i>Note: μg/mL</b></i>",,,,,,,,,,,
glycerol_stock_id1,bacterial_wgs_metadata,,text,"Glycerol stock 1 tube ID(s):",,,,,,,,,,,,,
glycerol_stock_bcode1,bacterial_wgs_metadata,,text,"Glycerol stock 1 barcode:",,,,,,,,,,,,,
glycerol_stock_freezer_loc1,bacterial_wgs_metadata,,radio,"Glycerol stock 1 tube freezer location:","1, Peanut | 2, Butter | 3, Jelly | 4, Back-up | 5, Other (please specify)",,,,,,,,,,,,
glycerol_stock_freeze_oth1,bacterial_wgs_metadata,,text,"Please specify: ",,,,,,,"[glycerol_stock_freezer_loc1] = '5'",,,,,,
glycerol_stock_freezer_rack1,bacterial_wgs_metadata,,text,"Glycerol stock 1 tube freezer rack:",,,,,,,,,,,,,
glycerol_stock_freezer_box1,bacterial_wgs_metadata,,text,"Glycerol stock 1 tube freezer box:",,,,,,,,,,,,,
glycerol_stock_freezer_slot1,bacterial_wgs_metadata,,text,"Glycerol stock 1 tube freezer slot:",,,,,,,,,,,,,
glycerol_stock_desc2,bacterial_wgs_metadata,,descriptive,"<p class=""yellow""><b><font color = ""black"">Glycerol Stock Back-Up Sample</p></b></font>",,"<b><i>Note: μg/mL</b></i>",,,,,,,,,,,
glycerol_stock_id2,bacterial_wgs_metadata,,text,"Glycerol stock 2 tube ID(s):",,,,,,,,,,,,,
glycerol_stock_bcode2,bacterial_wgs_metadata,,text,"Glycerol stock 2 barcode:",,,,,,,,,,,,,
glycerol_stock_freezer_loc2,bacterial_wgs_metadata,,radio,"Glycerol stock 2 tube freezer location:","1, Peanut | 2, Butter | 3, Jelly | 4, Back-up | 5, Other (please specify)",,,,,,,,,,,,
glycerol_stock_freeze_oth2,bacterial_wgs_metadata,,text,"Please specify: ",,,,,,,"[glycerol_stock_freezer_loc2] = '5'",,,,,,
glycerol_stock_freezer_rack2,bacterial_wgs_metadata,,text,"Glycerol stock 2 tube freezer rack:",,,,,,,,,,,,,
glycerol_stock_freezer_box2,bacterial_wgs_metadata,,text,"Glycerol stock 2 tube freezer box:",,,,,,,,,,,,,
glycerol_stock_freezer_slot2,bacterial_wgs_metadata,,text,"Glycerol stock 2 tube freezer slot:",,,,,,,,,,,,,
nuc_acid_dna_dt,bacterial_wgs_metadata,"Nucleic Acid Data",text,"DNA purification date:",,,date_ymd,,,,,,,,,,
nuc_acid_vol,bacterial_wgs_metadata,,text,"Volume: ",,"<b><i>Note: in μl</b></i>",number,,,,,,,,,,
nuc_acid_nanodrop,bacterial_wgs_metadata,,text,"Nanodrop 260/280:",,,,,,,,,,,,,
